Date,Annee,Quarter,Revenus,Excédent brut d'exploitation,Marge d'exploitation,Flux de trésorerie disponible
2022-03-31,2022,1,26726.0,2367.0,0.08856544189,4816.0
2022-06-30,2022,2,30015.0,2463.0,0.08205897051,2954.0
2022-09-30,2022,3,32290.0,2873.0,0.08897491483,2106.0
2022-12-31,2022,4,34571.0,2932.0,0.08481096873,1195.0
2021-03-31,2021,1,22762.0,2236.0,0.0982338986,2522.0
2021-06-30,2021,2,24983.0,3953.0,0.1582275948,2380.0
2021-09-30,2021,3,22628.0,1756.0,0.07760296977,1397.0
2021-12-31,2021,4,25103.0,1925.0,0.07668406167,55.0
2020-03-31,2020,1,17989.0,229.0,0.01273000167,-2218.0
2020-06-30,2020,2,14878,-1554,-0.1044495228,-295
2020-09-30,2020,3,21962,1477,0.06725252709,3065
2020-12-31,2020,4,26024.0,2010.0,0.07723639717,2843.0
2019-03-31,2019,1,19213.0,-310.0,-0.01613490866,-559.0
2019-06-30,2019,2,22624.0,1469.0,0.06493104668,869.0
2019-09-30,2019,3,23016.0,1515.0,0.06582377477,714.0
2019-12-31,2019,4,26829.0,1825.0,0.06802340751,1543.0
2018-03-31,2018,1,19326.0,1881.0,0.09733002173,302.0
2018-06-30,2018,2,22192.0,1919.0,0.08647260274,1642.0
2018-09-30,2018,3,21111.0,930.0,0.04405286344,98.0
2018-12-31,2018,4,23217.0,1452.0,0.06254037989,671.0
2017-03-31,2017,1,20001.0,1877.0,0.09384530773,1599.0
2017-06-30,2017,2,22165.0,2244.0,0.1012406948,436.0
2017-09-30,2017,3,20433.0,1758.0,0.08603729261,668.0
2017-12-31,2017,4,23143.0,2009.0,0.08680810612,1756.0
2016-03-31,2016,1,18814.0,1763.0,0.09370681407,532.0
2016-06-30,2016,2,22872.0,2178.0,0.09522560336,1990.0
2016-09-30,2016,3,21564.0,1837.0,0.08518827676,893.0
2016-12-31,2016,4,23174.0,1917.0,0.08272201605,2377.0
