Date,Annee,Quarter,Revenus,Excédent brut d'exploitation,Nouveaux contrats avec des particuliers
2022-03-31,2022,1,8486.0,966.0,433429.0
2022-06-30,2022,2,8765.0,982.0,382019.0
2022-09-30,2022,3,8785.0,679.0,362838.0
2022-12-31,2022,4,9086.0,536.0,367204.0
2021-03-31,2021,1,7906.0,767.0,489066.0
2021-06-30,2021,2,8200.0,1128.0,540279.0
2021-09-30,2021,3,8073.0,974.0,479850.0
2021-12-31,2021,4,8688.0,832.0,447319.0
2020-03-31,2020,1,7598.0,542.0,449687.0
2020-06-30,2020,2,6658,77,354765
2020-09-30,2020,3,7799,438,538351
2020-12-31,2020,4,7989.0,664.0,502468.0
2019-03-31,2019,1,7146.0,648.0,469624.0
2019-06-30,2019,2,7364.0,606.0,501663.0
2019-09-30,2019,3,7471.0,606.0,504217.0
2019-12-31,2019,4,7617.0,452.0,528278.0
2018-03-31,2018,1,6561.0,561.0,451908.0
2018-06-30,2018,2,7027.0,605.0,480303.0
2018-09-30,2018,3,7219.0,528.0,490347.0
2018-12-31,2018,4,6898.0,478.0,486082.0
2017-03-31,2017,1,7046.0,604.0,465634.0
2017-06-30,2017,2,7044.0,588.0,468603.0
2017-09-30,2017,3,6679.0,607.0,435026.0
2017-12-31,2017,4,6798.0,395.0,459341.0
2016-03-31,2016,1,6032.0,591.0,413372.0
2016-06-30,2016,2,6505.0,529.0,460718.0
2016-09-30,2016,3,6403.0,576.0,467702.0
2016-12-31,2016,4,6741.0,488.0,469365.0
