Date,Annee,Quarter,Revenus,Excédent brut d'exploitation,Marge d'exploitation,Sales volume (deliveries to customers) units
2022-03-31,2022,1,799.0,108.0,0.1351689612,47403.0
2022-06-30,2022,2,864.0,127.0,0.1469907407,60152.0
2022-09-30,2022,3,822.0,87.0,0.1058394161,51778.0
2022-12-31,2022,4,691.0,-65.0,-0.09406657019,43562.0
2021-03-31,2021,1,753.0,135.0,0.1792828685,42592.0
2021-06-30,2021,2,868.0,149.0,0.1716589862,65018.0
2021-09-30,2021,3,641.0,39.0,0.0608424337,48999.0
2021-12-31,2021,4,486.0,-96.0,-0.1975308642,37652.0
2020-03-31,2020,1,557.0,72.0,0.1292639138,34774.0
2020-06-30,2020,2,522,-7,-0.01340996169,41933
2020-09-30,2020,3,637,45,0.07064364207,52892
2020-12-31,2020,4,568.0,-7.0,-0.01232394366,39673.0
2019-03-31,2019,1,586.0,89.0,0.1518771331,38606.0
2019-06-30,2019,2,727.0,102.0,0.1403026135,54582.0
2019-09-30,2019,3,558.0,35.0,0.06272401434,43744.0
2019-12-31,2019,4,497.0,-32.0,-0.06438631791,38230.0
2018-03-31,2018,1,524.0,77.0,0.1469465649,35858.0
2018-06-30,2018,2,658.0,98.0,0.1489361702,51117.0
2018-09-30,2018,3,476.0,33.0,0.06932773109,39818.0
2018-12-31,2018,4,515.0,-33.0,-0.0640776699,38773.0
2017-03-31,2017,1,620.0,125.0,0.2016129032,35636.0
2017-06-30,2017,2,695.0,104.0,0.1496402878,52753.0
2017-09-30,2017,3,512.0,53.0,0.103515625,39429.0
2017-12-31,2017,4,445.0,-75.0,-0.1685393258,36335.0
2016-03-31,2016,1,582.0,94.0,0.1615120275,33788.0
2016-06-30,2016,2,617.0,98.0,0.1588330632,46966.0
2016-09-30,2016,3,451.0,32.0,0.07095343681,35290.0
2016-12-31,2016,4,419.0,-37.0,-0.08830548926,28988.0
