Annee,Capital souscrit,Réserves de capital,Réserves de revenus,Autres capitaux propres accumulés,Capitaux propres attribuables aux actionnaires,Intérêts minoritaires,Capitaux propres,Passifs financiers,Autres passifs,Taxe différée,Provisions pour risques et charges,autres provisions,Impôt actuel,Dettes commerciales,Dettes,Total des capitaux propres et du passif
2022,1283,14551,137267,-1845,14121,12950,178327,233193,31675,10734,27553,53657,29474,158,386444,564771
2021,1283,14551,117342,-3167,14439,1705,146153,227670,28320,5131,41550,55307,24238,238,382454,528607
2020,1283.0,14551.0,100772.0,-5270.0,15713.0,1734.0,128783.0,218304.0,25884.0,4890.0,45081.0,51157.0,23017.0,,368333.0,497116.0
2019,1283,14551,96929,-3646,12663,1870,123650,216825,26591,5007,41389,51084,23153,370,364419,488069
2018,1283.0,14551.0,91105.0,-2417.0,12596.0,225.0,117343.0,203518.0,24041.0,5030.0,33097.0,51065.0,24063.0,,340814.0,458157.0
2017,1283.0,14551.0,81248.0,678.0,11088.0,229.0,109077.0,174707.0,22160.0,5636.0,32730.0,54408.0,23476.0,,313117.0,422194.0
2016,1283.0,14551.0,70446.0,-1158.0,7567.0,221.0,92910.0,168745.0,21125.0,4745.0,33012.0,65899.0,23294.0,,316820.0,409730.0
2015,1283.0,14551.0,69039.0,-4374.0,7560.0,210.0,88269.0,161856.0,18919.0,4433.0,27535.0,60132.0,20790.0,,293665.0,381934.0
2014,1218.0,14616.0,71197.0,-2081.0,5041.0,198.0,90189.0,145577.0,18381.0,4774.0,29806.0,42694.0,19786.0,,261018.0,351207.0
2013,1191.0,12658.0,72341.0,-459.0,2004.0,2304.0,90039.0,128335.0,15531.0,7894.0,21774.0,42522.0,18242.0,,234298.0,324337.0
2012,1191.0,11509.0,64596.0,386.0,,4313.0,81995.0,124485.0,15786.0,9050.0,23939.0,36756.0,17506.0,,227522.0,309517.0
