Date,Annee,Quarter,vente
2021-03-31,2021,1,42 592
2021-06-30,2021,2,65 018
2021-09-30,2021,3,48 999
2021-12-31,2021,4,37 652
2020-03-31,2020,1,34 774
2020-06-30,2020,2,41 933
2020-09-30,2020,3,52 892
2020-12-31,2020,4,39 673
2019-03-31,2019,1,38 606
2019-06-30,2019,2,54 582
2019-09-30,2019,3,43 744
2019-12-31,2019,4,38 230
2018-03-31,2018,1,35 858
2018-06-30,2018,2,51 117
2018-09-30,2018,3,39 818
2018-12-31,2018,4,38 773
2017-03-31,2017,1,35 636
2017-06-30,2017,2,52 753
2017-09-30,2017,3,39 429
2017-12-31,2017,4,36 335
2016-03-31,2016,1,33 788
2016-06-30,2016,2,46 966
2016-09-30,2016,3,35 290
2016-12-31,2016,4,28 988
