BMW_model,MINI,Rolls-Royce,Total,Annee,Quarter
519 796,75 487,1 624,596 907,2022,1
496 432,65 188,1 567,563 187,2022,2
517 638,68 596,1 510,587 744,2022,3
566 823,83 651,1 320,651 794,2022,4
560 543,74 683,1 380,636 606,2021,1
617 667,83 165,1 609,702 441,2021,2
524 858,66 990,1 329,593 177,2021,3
510 722,77 300,1 268,589 290,2021,4
411 695,64 295,853,476 843,2020,1
430 660,54 694,707,486 061,2020,2
585 505,89 402,1 091,675 998,2020,3
600 981,84 191,1 105,686 277,2020,4
515 297,84 145,1 172,600 614,2019,1
560 189,88 337,1 330,649 856,2019,2
533 215,87 561,1 205,621 981,2019,3
576 238,87 422,1 393,665 053,2019,4
517 447,86 375,807,604 629,2018,1
541 849,95 055,974,637 878,2018,2
506 920,84 505,878,592 303,2018,3
558 810,95 596,1 448,655 854,2018,4
503 445,83 059,733,587 237,2017,1
534 585,98 155,842,633 582,2017,2
499 467,90 180,768,590 415,2017,3
550 786,100 487,1 019,652 292,2017,4
478 743,78 311,551,557 605,2016,1
507 814,96 587,1 133,605 534,2016,2
493 379,89 179,941,583 499,2016,3
523 423,96 156,1 386,620 965,2016,4
